country,name,player_url,team,maps,rounds,kd_diff,kd,rating
United States,Drone,https://www.hltv.org/stats/players/9130/drone,Splyce,454,11841,-168,0.98,0.99
Greece,awzek,https://www.hltv.org/stats/players/14061/awzek,ALTERNATE aTTaX,748,18281,-58,1.00,0.99
Russia,facecrack,https://www.hltv.org/stats/players/8726/facecrack,FORZE,1806,48022,-817,0.98,0.99
Sweden,robiin,https://www.hltv.org/stats/players/7700/robiin,Endpoint,1822,47666,-189,0.99,0.99
Russia,Dimaoneshot,https://www.hltv.org/stats/players/8125/dimaoneshot,Spirit,1328,34927,-575,0.98,0.99
Azerbaijan,sugaR,https://www.hltv.org/stats/players/18510/sugar,Insilio,569,14368,+25,1.00,0.99
Russia,s1ren,https://www.hltv.org/stats/players/18506/s1ren,BetBoom,553,13506,+186,1.02,0.99
United Kingdom,dephh,https://www.hltv.org/stats/players/7873/dephh,Complexity,790,20560,-336,0.98,0.99
United States,vanity,https://www.hltv.org/stats/players/12089/vanity,Chaos,609,15688,+80,1.01,0.99
Russia,Perfecto,https://www.hltv.org/stats/players/16947/perfecto,Natus Vincere,971,25281,+704,1.05,0.99
Hungary,kory,https://www.hltv.org/stats/players/16495/kory,Sangal,853,22287,-58,1.00,0.99
Brazil,arT,https://www.hltv.org/stats/players/12521/art,FURIA,1348,34131,-363,0.98,0.99
Denmark,gade,https://www.hltv.org/stats/players/8875/gade,North,958,25224,-121,0.99,0.99
United Kingdom,CYPHER,https://www.hltv.org/stats/players/18571/cypher,BLEED,854,21764,-366,0.98,0.99
Romania,volt,https://www.hltv.org/stats/players/20358/volt,GamerLegion,634,16310,+53,1.00,0.99
Mongolia,Techno,https://www.hltv.org/stats/players/20275/techno,The MongolZ,551,13889,-153,0.98,0.99
Finland,SAGGERTON,https://www.hltv.org/stats/players/7529/saggerton,iGame.com,540,14097,-231,0.98,0.99
Poland,bnox,https://www.hltv.org/stats/players/20309/bnox,Permitta,941,23506,-57,1.00,0.99
Kazakhstan,fitch,https://www.hltv.org/stats/players/10052/fitch,AVANGAR,577,15287,-228,0.98,0.99
United States,EMIYA,https://www.hltv.org/stats/players/14495/emiya,Rocket,611,15429,+77,1.01,0.99
Sweden,bq,https://www.hltv.org/stats/players/17936/bq,Lilmix,486,12844,-158,0.98,0.99
Australia,dangeR,https://www.hltv.org/stats/players/12875/danger,Rooster,478,11694,+76,1.01,0.99
Portugal,MUTiRiS,https://www.hltv.org/stats/players/630/mutiris,SAW,1731,44456,+101,1.00,0.99
Denmark,Lukki,https://www.hltv.org/stats/players/8871/lukki,Tricked,895,23495,-18,1.00,0.99
United States,nitr0,https://www.hltv.org/stats/players/7687/nitr0,Liquid,1598,41555,+168,1.01,0.99
Brazil,naitte,https://www.hltv.org/stats/players/17181/naitte,ODDIK,713,17538,-369,0.97,0.99
