country,name,player_url,team,maps,rounds,kd_diff,kd,rating
Germany,denis,https://www.hltv.org/stats/players/7511/denis,Sprout,1840,48974,-1863,0.95,0.95
Norway,Grus,https://www.hltv.org/stats/players/16462/grus,Apeks,648,17580,-834,0.93,0.95
Denmark,Chr1zN,https://www.hltv.org/stats/players/21983/chr1zn,MOUZ NXT,610,14558,-416,0.96,0.95
Sweden,dumz,https://www.hltv.org/stats/players/7958/dumz,DenDD,455,12074,-320,0.96,0.95
United States,brett,https://www.hltv.org/stats/players/14799/brett,FLUFFY AIMERS,683,17039,-837,0.93,0.95
Bulgaria,oxygeN,https://www.hltv.org/stats/players/18697/oxygen,SKADE,890,23116,-610,0.96,0.95
Bulgaria,rafftu,https://www.hltv.org/stats/players/16412/rafftu,SKADE,565,15138,-452,0.96,0.95
Brazil,PKL,https://www.hltv.org/stats/players/6593/pkl,paiN,1392,35921,-913,0.96,0.95
Sweden,friberg,https://www.hltv.org/stats/players/7148/friberg,Ninjas in Pyjamas,1979,51523,-1750,0.95,0.95
Germany,tahsiN,https://www.hltv.org/stats/players/2148/tahsin,PENTA,619,16083,-696,0.94,0.95
Ukraine,byr9,https://www.hltv.org/stats/players/19590/byr9,kONO,702,18328,-438,0.96,0.95
Denmark,Console,https://www.hltv.org/stats/players/10404/console,Tricked,708,18612,-582,0.95,0.95
Belgium,Keoz,https://www.hltv.org/stats/players/15117/keoz,Syman,1156,30130,-1290,0.94,0.95
New Zealand,soju_j,https://www.hltv.org/stats/players/12590/soju-j,Legacy,554,14231,-410,0.96,0.95
Kazakhstan,KrizzeN,https://www.hltv.org/stats/players/12161/krizzen,AVANGAR,763,20020,-368,0.97,0.95
Brazil,bnc,https://www.hltv.org/stats/players/13287/bnc,Bounty Hunters,501,12305,-464,0.95,0.95
United States,Danejoris,https://www.hltv.org/stats/players/15052/danejoris,Third Impact,484,12195,-461,0.95,0.95
Norway,H4RR3,https://www.hltv.org/stats/players/14311/h4rr3,Nordavind,694,18646,-843,0.94,0.95
Bulgaria,niki1,https://www.hltv.org/stats/players/8917/niki1,FATE,1351,35585,-1234,0.95,0.95
Germany,tiziaN,https://www.hltv.org/stats/players/5796/tizian,BIG,2052,53406,-1531,0.96,0.95
Hungary,flashie,https://www.hltv.org/stats/players/5440/flashie,GameAgents,594,15719,-518,0.95,0.95
Russia,seized,https://www.hltv.org/stats/players/3347/seized,Natus Vincere,1972,51161,-1578,0.95,0.95
Brazil,xns,https://www.hltv.org/stats/players/20219/xns,TeamOne,468,12143,-395,0.95,0.95
Denmark,AcilioN,https://www.hltv.org/stats/players/8151/acilion,Copenhagen Flames,1887,49653,-1729,0.95,0.95
Denmark,TMB,https://www.hltv.org/stats/players/11995/tmb,Copenhagen Flames,1300,34060,-1332,0.94,0.95
Brazil,steel,https://www.hltv.org/stats/players/7382/steel,Movistar Riders,1567,40987,-1165,0.96,0.95
Denmark,Inzta,https://www.hltv.org/stats/players/7463/inzta,Tricked,754,19798,-849,0.94,0.94
Belgium,Nexius,https://www.hltv.org/stats/players/20872/nexius,OG,465,11567,-634,0.92,0.94
France,devoduvek,https://www.hltv.org/stats/players/10569/devoduvek,LDLC,748,19727,-778,0.94,0.94
Brazil,drop,https://www.hltv.org/stats/players/19750/drop,MIBR,571,13988,-323,0.96,0.94
China,Karsa,https://www.hltv.org/stats/players/8599/karsa,Flash,461,11782,-319,0.96,0.94
Germany,kzy,https://www.hltv.org/stats/players/3517/kzy,EURONICS,991,25840,-835,0.95,0.94
Sweden,Fifflaren,https://www.hltv.org/stats/players/7147/fifflaren,Ninjas in Pyjamas,538,13220,-40,0.99,0.94
Sweden,LNZ,https://www.hltv.org/stats/players/19310/lnz,Sangal,746,18567,-509,0.96,0.94
United States,SileNt,https://www.hltv.org/stats/players/8752/silent,Swole Patrol,624,16235,-788,0.93,0.94
Turkey,MAJ3R,https://www.hltv.org/stats/players/150/maj3r,Eternal Fire,1424,36866,-1116,0.95,0.94
Poland,mASKED,https://www.hltv.org/stats/players/21142/masked,Permitta,704,17196,-542,0.95,0.94
Finland,Twixie,https://www.hltv.org/stats/players/15180/twixie,KOVA,767,20821,-780,0.94,0.94
Russia,interz,https://www.hltv.org/stats/players/15071/interz,Cloud9,1067,27856,-142,0.99,0.94
Bulgaria,Rock1nG,https://www.hltv.org/stats/players/10762/rock1ng,SKADE,923,24313,-1142,0.93,0.94
Poland,darko,https://www.hltv.org/stats/players/11287/darko,PACT,1045,28038,-1180,0.94,0.94
Slovakia,The eLiVe,https://www.hltv.org/stats/players/14388/the-elive,Sampi,1194,30620,-1022,0.95,0.94
Russia,tonyblack,https://www.hltv.org/stats/players/1950/tonyblack,Spirit,826,21699,-725,0.95,0.94
United States,Shakezullah,https://www.hltv.org/stats/players/14203/shakezullah,Triumph,862,22424,-464,0.97,0.94
Brazil,caike,https://www.hltv.org/stats/players/10563/caike,g3x,575,15020,-586,0.94,0.94
Ukraine,arch,https://www.hltv.org/stats/players/8410/arch,Preparation,593,15530,-658,0.94,0.94
Denmark,Patti,https://www.hltv.org/stats/players/13077/patti,Astralis Talent,615,15538,-639,0.94,0.94
Denmark,maNkz,https://www.hltv.org/stats/players/15349/mankz,ECSTATIC,1069,28393,-1214,0.94,0.94
Finland,Aleksib,https://www.hltv.org/stats/players/9816/aleksib,Natus Vincere,1333,34771,-1025,0.95,0.94
Russia,kinqie,https://www.hltv.org/stats/players/3459/kinqie,RUSH B,755,19613,-998,0.93,0.94
Belarus,boX,https://www.hltv.org/stats/players/13976/box,Nemiga,1473,39456,-1650,0.94,0.94
Czech Republic,Valencio,https://www.hltv.org/stats/players/13569/valencio,ECLOT,568,14917,-675,0.93,0.94
Denmark,LOMME,https://www.hltv.org/stats/players/1889/lomme,North Academy,623,16172,-532,0.95,0.94
Poland,Prism,https://www.hltv.org/stats/players/18979/prism,UNGENTIUM,567,14692,-716,0.93,0.94
Belgium,Ex6TenZ,https://www.hltv.org/stats/players/7166/ex6tenz,Titan,1393,36352,-1064,0.96,0.94
Russia,ub1que,https://www.hltv.org/stats/players/7405/ub1que,EPG,491,12691,-496,0.94,0.94
Denmark,Snappi,https://www.hltv.org/stats/players/922/snappi,HEROIC,1924,50194,-1898,0.94,0.94
Poland,TaZ,https://www.hltv.org/stats/players/161/taz,Virtus.pro,2390,62983,-2449,0.94,0.94
Russia,faydett,https://www.hltv.org/stats/players/20197/faydett,Insilio,502,12232,-509,0.94,0.94
Australia,Noisia,https://www.hltv.org/stats/players/11492/noisia,AVANT,608,15732,-665,0.94,0.94
Brazil,yepz,https://www.hltv.org/stats/players/16954/yepz,Case,735,18001,-529,0.95,0.94
Slovakia,sAvana1,https://www.hltv.org/stats/players/21299/savana1,Sampi,720,17799,-712,0.94,0.94
Finland,arvid,https://www.hltv.org/stats/players/9325/arvid,SJ,994,26589,-1331,0.93,0.94
Turkey,ngiN,https://www.hltv.org/stats/players/9857/ngin,Space Soldiers,1025,26895,-748,0.96,0.94
Bulgaria,Duplicate,https://www.hltv.org/stats/players/16410/duplicate,SKADE,1000,26598,-1124,0.94,0.94
Taiwan,Marek,https://www.hltv.org/stats/players/8598/marek,EHOME,498,13045,-567,0.94,0.94
Poland,repo,https://www.hltv.org/stats/players/8320/repo,PRIDE,505,13254,-657,0.93,0.94
Poland,Sidney,https://www.hltv.org/stats/players/15697/sidney,UNGENTIUM,610,16394,-625,0.94,0.93
Brazil,Leomonster,https://www.hltv.org/stats/players/17132/leomonster,Meta,618,15651,-1025,0.91,0.93
Finland,Sm1llee,https://www.hltv.org/stats/players/18643/sm1llee,JANO,487,12715,-647,0.93,0.93
Brazil,hoax,https://www.hltv.org/stats/players/19991/hoax,Galorys,492,11973,-588,0.93,0.93
Russia,nafany,https://www.hltv.org/stats/players/16921/nafany,BetBoom,1297,33304,-1780,0.92,0.93
Norway,Polly,https://www.hltv.org/stats/players/3631/polly,LGB,461,11987,-611,0.93,0.93
Russia,hutji,https://www.hltv.org/stats/players/8790/hutji,Vega Squadron,453,12010,-664,0.92,0.93
Germany,crisby,https://www.hltv.org/stats/players/1064/crisby,ALTERNATE aTTaX,1210,31547,-1814,0.92,0.93
Sweden,ztr,https://www.hltv.org/stats/players/16486/ztr,Young Ninjas,873,22333,-1061,0.93,0.93
Denmark,kiR,https://www.hltv.org/stats/players/10938/kir,Astralis Talent,869,22766,-1398,0.91,0.93
Poland,TOAO,https://www.hltv.org/stats/players/11278/toao,AGO,1435,37991,-1759,0.93,0.93
Argentina,tutehen,https://www.hltv.org/stats/players/10506/tutehen,VELOX,467,12023,-485,0.94,0.93
North Macedonia,dan1,https://www.hltv.org/stats/players/18788/dan1,BLUEJAYS,540,14182,-705,0.93,0.93
Poland,EXUS,https://www.hltv.org/stats/players/8549/exus,PRIDE,987,26248,-1438,0.92,0.93
Russia,RAiLWAY,https://www.hltv.org/stats/players/14161/railway,INDE IRAE,577,15627,-1059,0.91,0.93
Kazakhstan,neaLaN,https://www.hltv.org/stats/players/11940/nealan,K23,1309,34455,-1786,0.93,0.93
South Africa,JT,https://www.hltv.org/stats/players/11630/jt,Complexity,1415,36162,-1860,0.92,0.93
Czech Republic,beastik,https://www.hltv.org/stats/players/11199/beastik,SINNERS,1455,37294,-1893,0.92,0.93
Poland,matty,https://www.hltv.org/stats/players/8231/matty,EC Brugge,617,16381,-836,0.93,0.93
Brazil,dok,https://www.hltv.org/stats/players/10828/dok,Liberty,458,11905,-785,0.91,0.93
Australia,BRACE,https://www.hltv.org/stats/players/12588/brace,VERTEX,686,16946,-912,0.92,0.92
Belarus,hitMouse,https://www.hltv.org/stats/players/1200/hitmouse,Nemiga,538,14028,-625,0.93,0.92
Australia,SkulL,https://www.hltv.org/stats/players/14290/skull,Genuine,747,19220,-1386,0.90,0.92
France,Xp3,https://www.hltv.org/stats/players/1331/xp3,Winterfox,502,13113,-792,0.91,0.92
Bulgaria,pNshr,https://www.hltv.org/stats/players/1278/pnshr,Windigo,600,15671,-812,0.92,0.92
Serbia,emi,https://www.hltv.org/stats/players/2476/emi,Partizan,1357,35231,-1954,0.92,0.92
Spain,arki,https://www.hltv.org/stats/players/356/arki,SAW,889,23396,-1274,0.92,0.92
Brazil,TACO,https://www.hltv.org/stats/players/9217/taco,SK,1495,38921,-1646,0.93,0.92
Uzbekistan,SANJI,https://www.hltv.org/stats/players/11716/sanji,Virtus.pro,741,19869,-999,0.92,0.92
Serbia,aVN,https://www.hltv.org/stats/players/5351/avn,Zero Tenacity,1275,32146,-1560,0.93,0.92
Ukraine,amster,https://www.hltv.org/stats/players/19617/amster,kONO,700,18089,-861,0.93,0.92
Ukraine,Zeus,https://www.hltv.org/stats/players/484/zeus,Natus Vincere,1405,37152,-1990,0.92,0.92
Denmark,MSL,https://www.hltv.org/stats/players/7156/msl,Dignitas,1777,46431,-3455,0.90,0.92
Poland,Luz,https://www.hltv.org/stats/players/5385/luz,PRIDE,660,17302,-994,0.92,0.92
Brazil,drg,https://www.hltv.org/stats/players/16645/drg,Sharks,757,19053,-1188,0.91,0.92
Sweden,quix,https://www.hltv.org/stats/players/3329/quix,Lilmix,1042,27280,-2246,0.89,0.92
France,Graviti,https://www.hltv.org/stats/players/21969/graviti,3DMAX,456,11160,-773,0.90,0.92
Kazakhstan,sorrow,https://www.hltv.org/stats/players/19967/sorrow,100PG,470,12741,-891,0.90,0.92
Brazil,nak,https://www.hltv.org/stats/players/169/nak,Sharks,519,13439,-700,0.92,0.92
United Kingdom,dobbo,https://www.hltv.org/stats/players/20128/dobbo,Into the Breach,539,14432,-672,0.93,0.92
Brazil,CutzMeretz,https://www.hltv.org/stats/players/18891/cutzmeretz,Meta,497,12416,-782,0.91,0.92
Russia,S0tF1k,https://www.hltv.org/stats/players/9081/s0tf1k,Spirit,1428,37604,-2378,0.91,0.91
Serbia,Dav,https://www.hltv.org/stats/players/4218/dav,Squared,468,12095,-822,0.90,0.91
Norway,akez,https://www.hltv.org/stats/players/8837/akez,777,572,15395,-1114,0.90,0.91
Sweden,Ro1f,https://www.hltv.org/stats/players/21012/ro1f,Johnny Speeds,696,17890,-1035,0.91,0.91
Russia,svyat,https://www.hltv.org/stats/players/12016/svyat,Hard Legion,741,19875,-1095,0.92,0.91
Mongolia,ncl,https://www.hltv.org/stats/players/9736/ncl,The MongolZ,554,14211,-775,0.92,0.91
Bulgaria,Patrick,https://www.hltv.org/stats/players/14380/patrick,500,724,19397,-1376,0.90,0.91
Germany,LEGIJA,https://www.hltv.org/stats/players/3252/legija,BIG,869,22614,-1671,0.90,0.91
Russia,wayLander,https://www.hltv.org/stats/players/7796/waylander,FlipSid3,794,20857,-1715,0.89,0.91
Poland,mynio,https://www.hltv.org/stats/players/4829/mynio,9INE,1130,30177,-2275,0.89,0.91
Finland,xartE,https://www.hltv.org/stats/players/7537/xarte,SJ,1178,30948,-1800,0.91,0.91
Germany,ArroW,https://www.hltv.org/stats/players/21500/arrow,ALTERNATE aTTaX,458,10785,-629,0.91,0.91
Brazil,zmb,https://www.hltv.org/stats/players/14010/zmb,Vikings KR,575,14478,-1076,0.89,0.91
Finland,BONA,https://www.hltv.org/stats/players/10114/bona,SJ,476,12674,-943,0.89,0.91
Hungary,coolio,https://www.hltv.org/stats/players/14202/coolio,Budapest Five,494,12997,-757,0.91,0.90
Finland,sAw,https://www.hltv.org/stats/players/7821/saw,HAVU,1273,33817,-2151,0.91,0.90
Germany,kRYSTAL,https://www.hltv.org/stats/players/7218/krystal,PENTA,1890,49419,-3520,0.89,0.90
Ukraine,crush,https://www.hltv.org/stats/players/9348/crush,pro100,732,19295,-1476,0.89,0.90
Denmark,sycrone,https://www.hltv.org/stats/players/9295/sycrone,Sprout,553,14608,-978,0.90,0.90
Russia,balblna,https://www.hltv.org/stats/players/8294/balblna,Quantum Bellator Fire,614,16094,-1251,0.89,0.90
Denmark,karrigan,https://www.hltv.org/stats/players/429/karrigan,FaZe,2391,62123,-5019,0.88,0.90
Bulgaria,nkl,https://www.hltv.org/stats/players/5327/nkl,E-frag.net,642,16554,-1046,0.91,0.90
Russia,hooch,https://www.hltv.org/stats/players/499/hooch,EPG,897,23538,-1828,0.89,0.90
United Kingdom,Adam9130,https://www.hltv.org/stats/players/18219/adam9130,Into the Breach,716,19221,-1736,0.87,0.90
Canada,FNS,https://www.hltv.org/stats/players/6451/fns,CLG,953,25080,-1794,0.89,0.89
Kosovo,SENER1,https://www.hltv.org/stats/players/15778/sener1,Bad News Eagles,780,20100,-1527,0.89,0.89
France,JiNKZ,https://www.hltv.org/stats/players/15120/jinkz,3DMAX,542,14411,-1193,0.88,0.89
Sweden,pronax,https://www.hltv.org/stats/players/41/pronax,fnatic,1199,31403,-2267,0.89,0.89
Sweden,SHiNE,https://www.hltv.org/stats/players/19065/shine,EYEBALLERS,585,15283,-1180,0.89,0.89
Sweden,Golden,https://www.hltv.org/stats/players/11110/golden,fnatic,1165,29659,-2688,0.87,0.89
Ukraine,Psycho,https://www.hltv.org/stats/players/16563/psycho,Project X,545,14391,-1143,0.88,0.89
Brazil,RICIOLI,https://www.hltv.org/stats/players/18875/ricioli,Case,810,20263,-1588,0.88,0.89
Denmark,IceBerg,https://www.hltv.org/stats/players/16731/iceberg,Sashi,1090,27262,-3023,0.85,0.89
United States,ben1337,https://www.hltv.org/stats/players/13250/ben1337,Party Astronauts,1293,32934,-2728,0.88,0.89
Czech Republic,K1-FiDa,https://www.hltv.org/stats/players/15818/k1-fida,UNiTY,687,17618,-1395,0.88,0.89
Romania,BTN,https://www.hltv.org/stats/players/1206/btn,Nexus,1695,43929,-4213,0.87,0.88
United Kingdom,MiGHTYMAX,https://www.hltv.org/stats/players/8983/mightymax,Endpoint,1766,45657,-3640,0.88,0.88
Germany,FreeZe,https://www.hltv.org/stats/players/20122/freeze,ALTERNATE aTTaX,755,18473,-1867,0.86,0.88
United States,LeX,https://www.hltv.org/stats/players/8504/lex,Mythic,463,11937,-1263,0.85,0.88
Denmark,torben,https://www.hltv.org/stats/players/10993/torben,Fragsters,532,13939,-1196,0.87,0.88
Brazil,ninjaZ,https://www.hltv.org/stats/players/20083/ninjaz,Galorys,516,12669,-1239,0.86,0.88
France,Lambert,https://www.hltv.org/stats/players/8047/lambert,LDLC,803,21208,-1687,0.88,0.88
United States,seang@res,https://www.hltv.org/stats/players/1916/seangres,Cloud9,713,18391,-1629,0.87,0.88
Canada,daps,https://www.hltv.org/stats/players/8521/daps,NRG,1137,29448,-2452,0.87,0.88
Poland,lunAtic,https://www.hltv.org/stats/players/9798/lunatic,PACT,1371,36322,-3305,0.87,0.88
Spain,dav1g,https://www.hltv.org/stats/players/19509/dav1g,KOI,592,15135,-1425,0.86,0.87
Germany,ScrunK,https://www.hltv.org/stats/players/8212/scrunk,ALTERNATE aTTaX,1163,31060,-3360,0.85,0.87
Denmark,BERRY,https://www.hltv.org/stats/players/921/berry,Ambush,826,21660,-2564,0.84,0.87
Denmark,birdfromsky,https://www.hltv.org/stats/players/13718/birdfromsky,Lyngby Vikings,1161,31439,-3276,0.85,0.86
Ukraine,def,https://www.hltv.org/stats/players/9350/def,pro100,605,15797,-1593,0.85,0.86
Poland,nawrot,https://www.hltv.org/stats/players/15726/nawrot,AVEZ,636,16946,-1935,0.84,0.86
Sweden,djL,https://www.hltv.org/stats/players/12572/djl,Chaos,688,18180,-1735,0.86,0.86
China,advent,https://www.hltv.org/stats/players/8600/advent,ViCi,1352,34337,-3247,0.85,0.85
Finland,Airax,https://www.hltv.org/stats/players/20593/airax,KOVA,510,13024,-1795,0.81,0.85
Germany,gob b,https://www.hltv.org/stats/players/136/gob-b,BIG,980,25846,-2839,0.84,0.85
Denmark,HooXi,https://www.hltv.org/stats/players/10096/hooxi,Copenhagen Flames,1075,28027,-3361,0.83,0.85
Russia,PASHANOJ,https://www.hltv.org/stats/players/13779/pashanoj,Unique,620,16227,-2371,0.80,0.83
Brazil,bobz,https://www.hltv.org/stats/players/17215/bobz,MIBR Academy,461,12176,-1639,0.81,0.83
Ukraine,B1ad3,https://www.hltv.org/stats/players/472/b1ad3,FlipSid3,906,23376,-3476,0.80,0.82
Denmark,netrick,https://www.hltv.org/stats/players/8422/netrick,AGF,455,11976,-1736,0.80,0.82
Denmark,HUNDEN,https://www.hltv.org/stats/players/7415/hunden,Tricked,1578,41153,-6238,0.78,0.81
