Model,Iteration,Train MSE,Train R2,Train MAE,Test MSE,Test R2,Test MAE,CV MSE
RandomForest,Baseline,0.00021605887022184737,0.9882479728654439,0.010577342047930252,0.0017650239598568358,0.9003449235890976,0.03137962401455429,0.0015982510600238017
XGBoost,Baseline,1.949556903478577e-06,0.9998939583197556,0.0009426877035487339,0.0021176921084175805,0.8804329155417036,0.034353495119333416,0.0017778491323245612
RandomForest,Basic Tuning,0.00020293120189534018,0.9889620223012674,0.010410185607404152,0.0018326346087701737,0.8965275564955676,0.03205343305707164,0.0015728687341150824
XGBoost,Basic Tuning,0.00018152100987604502,0.990126580633487,0.009628295926655091,0.001884286890017996,0.8936112153287504,0.03155942085610023,0.0015995213158885445
RandomForest,Advanced Tuning,0.00020032649140114655,0.9891036995597571,0.010368191721133057,0.0018379180648204357,0.8962292471080593,0.032098847786537384,0.0015662793866623836
XGBoost,Advanced Tuning,0.0001891532763959688,0.9897114409859076,0.009938988509928273,0.0017270127230363818,0.9024910772935053,0.030170736577996574,0.0015649208699424853
