Summary Stats_DPR,Summary Stats_KPR,Detailed Stats_Deaths / round,Role Stats_Firepower_Score,Role Stats_Opening_Win% after opening kill,Role Stats_Clutching_Score,Detailed Stats_Damage / Round,Detailed Stats_Headshot %,Role Stats_Opening_Opening deaths per round,Role Stats_Entrying_Support rounds,Basic Info_Team Name,Role Stats_Sniping_Rounds with sniper kills percentage,Detailed Stats_Assists / round,Role Stats_Sniping_Sniper kills per round,URL,Role Stats_Opening_Opening kills per round,Role Stats_Sniping_Sniper multi-kill rounds,Detailed Stats_Kills / round,Detailed Stats_Rating 1.0,Role Stats_Firepower_Rating 2.0,Role Stats_Opening_Opening success,Detailed Stats_Total kills,Role Stats_Firepower_Rounds with a kill,Detailed Stats_Rating 2.0,Role Stats_Firepower_Rounds with a multi-kill,Detailed Stats_Total deaths,Role Stats_Entrying_Score,Role Stats_Clutching_Clutch points per round,Basic Info_Age,Role Stats_Trading_Trade kills percentage,Role Stats_Clutching_Saves per round loss,Role Stats_Entrying_Saved by teammate per round,Role Stats_Trading_Score,Role Stats_Utility_Utility kills per 100 rounds,Summary Stats_Impact,Role Stats_Entrying_Opening deaths traded percentage,Role Stats_Utility_Flashes thrown per round,Summary Stats_KAST,Role Stats_Firepower_Kills per round,Role Stats_Trading_Assisted kills percentage,Detailed Stats_Saved by teammate / round,Role Stats_Entrying_Traded deaths per round,Role Stats_Entrying_Assists per round,Role Stats_Trading_Trade kills per round,Role Stats_Trading_Damage per kill,Role Stats_Utility_Flash assists per round,Role Stats_Utility_Time opponent flashed per round,Summary Stats_Rating 1.0,Basic Info_Real Name,Summary Stats_ADR,Role Stats_Clutching_1on1 win percentage,Role Stats_Utility_Utility damage per round,Role Stats_Firepower_Pistol round rating,Detailed Stats_Saved teammates / round,Role Stats_Firepower_Damage per round,Detailed Stats_K/D Ratio,Role Stats_Sniping_Sniper kills percentage,Role Stats_Firepower_Kills per round win,Role Stats_Opening_Attacks per round,Role Stats_Firepower_Damage per round win,Role Stats_Sniping_Score,Basic Info_Player Name,Role Stats_Opening_Opening attempts,Role Stats_Utility_Score,Role Stats_Clutching_Time alive per round,Detailed Stats_Rounds played,Role Stats_Sniping_Sniper opening kills per round,Detailed Stats_Grenade dmg / Round,Role Stats_Clutching_Last alive percentage,Detailed Stats_Maps played,Role Stats_Trading_Saved teammate per round,Summary Stats_Rating 2.0,Role Stats_Opening_Score,Role Stats_Entrying_Traded deaths percentage
0.67,0.61,0.67,27/100,73.8%,43/100,67.9,61.4%,0.11,18.3%,ALTERNATE aTTaX,0.2%,0.16,0.00,https://www.hltv.org/stats/players/21500/arrow,0.09,0.0004,0.61,,1.00,45.9%,6563,42.0%,0.99,13.1%,7192,73/100,0.01,22 years,22.9%,2.8%,0.14,40/100,0.60,0.95,31.6%,0.53,70.6%,0.58,21.9%,0.12,0.17,0.13,0.13,110,0.04,2.05,,Luc Oehmke,67.9,75.4%,2.99,1.10,0.10,64.9,0.91,0.5%,0.81,2.18,83.8,0/100,ArroW,21.3%,50/100,1m 7s,10785,0.0002,4.5,9.5%,458,0.12,0.99,47/100,24.3%
0.69,0.62,0.69,34/100,75.0%,35/100,70.8,46.0%,0.13,16.8%,Vikings KR,4.9%,0.14,0.07,https://www.hltv.org/stats/players/14010/zmb,0.08,0.01,0.62,,0.94,39.6%,8925,40.0%,0.98,12.7%,10001,52/100,0.01,25 years,22.5%,2.4%,0.11,21/100,0.92,0.99,25.5%,1.12,68.7%,0.56,3.3%,0.10,0.16,0.12,0.12,115,0.06,2.30,,Leonardo Toledo,70.8,65.3%,4.49,0.85,0.09,65.4,0.89,11.6%,0.79,2.40,86.9,20/100,zmb,22.6%,85/100,0m 58s,14478,0.01,5.6,10.8%,575,0.10,0.98,63/100,21.8%
0.70,0.63,0.70,35/100,75.4%,42/100,69.9,52.1%,0.11,13.9%,No team,1.3%,0.13,0.02,https://www.hltv.org/stats/players/10114/bona,0.09,0.003,0.63,0.91,-,43.4%,7931,43.0%,,14.4%,8874,45/100,0.01,25 years,23.2%,0.8%,0.13,37/100,0.60,0.93,30.0%,0.62,67.4%,0.61,18.1%,0.10,0.17,0.11,0.14,110,0.03,1.96,0.91,Verneri Junkala,69.9,68.6%,2.41,-,0.10,68.5,0.89,2.8%,0.87,2.30,91.4,11/100,BONA,20.8%,47/100,1m 2s,12674,0.003,4.5,10.1%,476,0.12,,38/100,22.6%
0.64,0.58,0.64,17/100,77.5%,65/100,64.4,53.6%,0.07,17.6%,NAVI Junior,0.1%,0.11,0.00,https://www.hltv.org/stats/players/14202/coolio,0.04,0.0005,0.58,,0.91,39.1%,7588,40.1%,0.94,11.9%,8345,45/100,0.02,24 years,27.7%,1.5%,0.12,48/100,0.54,0.79,29.1%,0.88,70.0%,0.55,20.4%,0.10,0.15,0.09,0.15,108,0.08,2.47,,András Fercsák,64.4,63.2%,2.65,0.99,0.10,59.7,0.91,0.3%,0.74,2.23,75.1,0/100,coolio,12.6%,64/100,1m 5s,12997,0.0002,4.0,14.7%,494,0.12,0.94,14/100,20.9%
0.67,0.61,0.67,28/100,77.6%,31/100,69.2,47.9%,0.09,15.8%,HEROIC,0.4%,0.16,0.00,https://www.hltv.org/stats/players/7821/saw,0.06,0.001,0.61,0.90,-,41.2%,20576,41.1%,,12.7%,22727,47/100,0.01,32 years,21.8%,1.2%,0.11,26/100,0.86,0.87,26.6%,1.05,69.1%,0.57,17.8%,0.11,0.14,0.12,0.12,100,0.05,1.95,0.90,Eetu Saha,69.2,63.8%,3.90,-,0.09,63.9,0.91,0.7%,0.78,2.26,74.0,0/100,sAw,15.8%,85/100,0m 59s,33817,0.0005,6.1,10.4%,1273,0.09,,25/100,19.9%
0.68,0.60,0.68,24/100,73.3%,31/100,67.3,36.7%,0.12,12.4%,No team,6.4%,0.15,0.04,https://www.hltv.org/stats/players/7218/krystal,0.08,0.01,0.60,0.90,-,40.0%,29873,39.8%,,12.1%,33393,16/100,0.01,31 years,16.0%,1.3%,0.09,7/100,0.74,0.88,20.9%,0.77,67.9%,0.55,19.1%,0.10,0.11,0.13,0.08,79,0.03,1.93,0.90,Kevin Amend,67.3,67.6%,4.06,-,0.08,62.6,0.89,9.5%,0.78,1.78,59.3,23/100,kRYSTAL,20.6%,70/100,0m 44s,49419,0.01,5.4,7.0%,1890,0.06,,43/100,15.8%
0.69,0.61,0.69,32/100,74.7%,39/100,69.9,52.5%,0.13,13.4%,No team,0.7%,0.13,0.01,https://www.hltv.org/stats/players/9348/crush,0.08,0.002,0.61,0.90,-,38.5%,11844,40.9%,,12.8%,13320,21/100,0.02,29 years,17.8%,1.3%,0.09,8/100,0.49,0.91,20.3%,0.93,67.1%,0.57,9.5%,0.09,0.13,0.11,0.10,105,0.04,2.03,0.90,Igor Shevchenko,69.9,63.5%,2.75,-,0.07,65.7,0.89,1.6%,0.82,2.20,81.0,3/100,crush,21.7%,73/100,0m 59s,19295,0.001,4.9,9.9%,732,0.07,,36/100,17.6%
0.67,0.60,0.67,28/100,73.1%,41/100,70.4,41.1%,0.08,17.7%,MOUZ,0.5%,0.15,0.01,https://www.hltv.org/stats/players/9295/sycrone,0.05,0.001,0.60,0.90,-,39.0%,8771,39.8%,,12.6%,9749,50/100,0.01,28 years,26.1%,1.4%,0.13,34/100,0.55,0.86,27.9%,1.08,69.4%,0.55,3.6%,0.10,0.15,0.12,0.14,114,0.05,1.73,0.90,Dennis Nielsen,70.4,63.9%,2.92,-,0.09,64.3,0.90,1.1%,0.75,2.40,80.8,2/100,sycrone,14.6%,66/100,1m 5s,14608,0.0004,4.3,13.6%,553,0.11,,19/100,21.6%
0.69,0.61,0.69,31/100,74.3%,39/100,70.3,49.9%,0.08,15.2%,Insilio,0.8%,0.15,0.01,https://www.hltv.org/stats/players/8294/balblna,0.06,0.002,0.61,0.90,-,42.7%,9824,41.5%,,13.1%,11075,44/100,0.01,28 years,24.9%,1.2%,0.12,32/100,0.76,0.89,31.1%,0.82,68.6%,0.58,10.2%,0.11,0.15,0.13,0.14,106,0.04,1.71,0.90,Gregory Oleinick,70.3,62.0%,3.67,-,0.09,66.5,0.89,1.6%,0.81,2.45,81.0,3/100,balblna,14.9%,65/100,1m 0s,16094,0.001,5.1,11.5%,614,0.12,,21/100,20.7%
0.69,0.61,0.69,29/100,74.5%,27/100,67.9,44.1%,0.15,11.4%,FaZe,2.3%,0.14,0.01,https://www.hltv.org/stats/players/429/karrigan,0.08,0.008,0.61,0.90,-,36.3%,38048,38.3%,,12.2%,43067,14/100,0.01,34 years,14.4%,0.8%,0.08,3/100,0.35,0.91,19.4%,0.81,66.8%,0.53,-4.0%,0.09,0.12,0.11,0.07,83,0.03,1.77,0.90,Finn Andersen,67.9,64.5%,3.22,-,0.07,60.8,0.88,3.5%,0.77,1.67,61.0,11/100,karrigan,24.2%,62/100,0m 45s,62123,0.006,5.1,5.8%,2391,0.06,,53/100,16.2%
0.67,0.60,0.67,26/100,74.8%,34/100,68.2,42.9%,0.09,8.5%,No team,0.6%,0.15,0.01,https://www.hltv.org/stats/players/5327/nkl,0.07,0.001,0.60,0.90,-,43.9%,9990,42.2%,,12.9%,11036,12/100,0.02,30 years,11.2%,0.9%,0.06,5/100,0.57,0.87,13.6%,0.27,70.6%,0.58,23.3%,0.10,0.07,0.13,0.06,53,0.0,0.02,0.90,Nikolay Krastev,68.2,61.4%,2.44,-,0.07,65.3,0.91,2.6%,0.76,1.11,39.3,1/100,nkl,17.1%,14/100,0m 31s,16554,0.001,3.3,5.6%,642,0.05,,29/100,10.4%
0.69,0.61,0.69,33/100,72.9%,42/100,70.8,41.8%,0.11,12.0%,No team,2.1%,0.14,0.02,https://www.hltv.org/stats/players/499/hooch,0.06,0.006,0.61,0.90,-,38.4%,14451,41.1%,,13.6%,16279,6/100,0.02,37 years,15.3%,1.6%,0.07,4/100,0.65,0.90,17.8%,0.61,66.1%,0.58,18.3%,0.08,0.09,0.12,0.08,86,0.02,1.56,0.90,Dmitry Bogdanov,70.8,70.2%,3.31,-,0.07,67.1,0.89,4.5%,0.83,1.85,68.9,8/100,hooch,17.9%,44/100,0m 45s,23538,0.004,4.4,9.8%,897,0.06,,28/100,13.1%
0.72,0.63,0.72,40/100,73.0%,31/100,73.1,40.0%,0.15,14.4%,GL Academy,0.2%,0.15,0.00,https://www.hltv.org/stats/players/18219/adam9130,0.09,0.0003,0.63,,0.92,38.6%,12030,39.9%,0.98,12.6%,13766,60/100,0.01,27 years,20.7%,1.6%,0.12,14/100,0.91,1.02,24.5%,0.68,67.3%,0.56,17.6%,0.11,0.17,0.12,0.11,116,0.05,2.39,,Adam Ahmad,73.1,67.7%,4.03,0.85,0.08,65.3,0.87,0.5%,0.83,2.63,90.6,0/100,Adam9130,24.8%,70/100,1m 2s,19221,0.0001,5.9,9.5%,716,0.09,0.98,69/100,22.3%
0.68,0.61,0.68,27/100,76.0%,32/100,67.9,45.9%,0.10,12.6%,No team,0.6%,0.14,0.00,https://www.hltv.org/stats/players/6451/fns,0.06,0.0007,0.61,0.89,-,38.7%,15287,41.0%,,12.8%,17081,23/100,0.02,32 years,17.3%,1.5%,0.09,7/100,0.53,0.85,25.3%,0.70,68.9%,0.56,19.6%,0.10,0.13,0.12,0.09,81,0.03,1.70,0.89,Pujan Mehta,67.9,69.4%,3.02,-,0.08,62.4,0.89,1.2%,0.78,1.71,59.3,0/100,FNS,16.5%,45/100,0m 50s,25080,0.0004,4.1,8.4%,953,0.07,,24/100,17.8%
0.67,0.59,0.67,24/100,70.5%,50/100,68.4,52.0%,0.10,18.6%,No team,0.4%,0.15,0.01,https://www.hltv.org/stats/players/15778/sener1,0.06,0.001,0.59,,0.94,37.6%,11908,39.7%,0.96,12.4%,13435,59/100,0.02,27 years,25.4%,2.4%,0.12,38/100,1.10,0.88,31.3%,0.79,69.9%,0.55,12.4%,0.10,0.16,0.13,0.14,114,0.04,2.06,,Sener Mahmuti,68.4,65.8%,4.79,0.96,0.09,63.1,0.89,0.9%,0.73,2.36,78.2,0/100,SENER1,17.5%,81/100,1m 1s,20100,0.0001,6.6,11.5%,780,0.11,0.96,23/100,22.8%
0.68,0.60,0.68,28/100,75.4%,31/100,69.7,53.5%,0.15,16.0%,No team,0.3%,0.15,0.00,https://www.hltv.org/stats/players/15120/jinkz,0.09,0.0003,0.60,,0.97,38.8%,8657,39.9%,0.97,12.9%,9850,73/100,0.01,29 years,23.2%,1.5%,0.15,24/100,0.58,0.94,35.2%,0.67,69.9%,0.56,6.6%,0.11,0.20,0.14,0.13,117,0.03,1.96,,Gaëtan Jamin,69.7,67.9%,2.53,1.06,0.09,66.2,0.88,0.6%,0.81,2.36,87.7,0/100,JiNKZ,25.4%,44/100,1m 1s,14411,0.0003,3.8,7.5%,542,0.11,0.97,43/100,26.8%
0.67,0.60,0.67,20/100,73.8%,27/100,64.7,45.8%,0.11,6.6%,No team,0.4%,0.14,0.00,https://www.hltv.org/stats/players/41/pronax,0.07,0.0008,0.60,0.89,-,37.9%,18722,39.7%,,11.9%,20989,10/100,0.01,33 years,9.7%,1.0%,0.05,6/100,0.14,0.86,11.8%,0.41,65.9%,0.54,7.9%,0.09,0.07,0.11,0.05,47,0.01,1.06,0.89,Markus Wallsten,64.7,69.4%,2.20,-,0.08,60.4,0.89,1.4%,0.77,0.98,33.2,0/100,pronax,19.1%,24/100,0m 22s,31403,0.0006,4.0,4.2%,1199,0.04,,32/100,9.4%
0.68,0.60,0.68,23/100,76.7%,49/100,66.8,52.9%,0.09,17.0%,No team,0.5%,0.14,0.01,https://www.hltv.org/stats/players/19065/shine,0.06,0.001,0.60,,0.91,39.9%,9142,39.5%,0.94,12.1%,10322,59/100,0.02,21 years,26.2%,0.5%,0.14,42/100,0.71,0.86,31.7%,1.16,68.5%,0.54,21.5%,0.11,0.16,0.12,0.14,111,0.08,2.20,,Casper Wennerberg,66.8,80.3%,3.97,0.83,0.10,61.4,0.89,1.0%,0.77,2.38,79.7,0/100,SHiNE,15.5%,87/100,1m 5s,15283,0.0004,5.8,9.8%,585,0.12,0.94,20/100,22.5%
0.70,0.61,0.70,28/100,76.7%,39/100,68.4,54.9%,0.11,15.7%,EYEBALLERS,0.5%,0.14,0.01,https://www.hltv.org/stats/players/11110/golden,0.07,0.001,0.61,,0.92,39.5%,18024,40.0%,0.94,13.1%,20712,48/100,0.02,30 years,23.0%,0.8%,0.12,26/100,0.95,0.92,26.1%,0.93,67.3%,0.56,10.8%,0.10,0.16,0.12,0.13,111,0.04,1.98,,Maikil Selim,68.4,66.9%,3.73,1.06,0.09,63.5,0.87,1.1%,0.81,2.31,85.3,1/100,Golden,19.2%,74/100,1m 5s,29659,0.0007,5.4,9.7%,1165,0.10,0.94,35/100,21.3%
0.69,0.61,0.69,28/100,78.3%,32/100,69.9,52.5%,0.10,16.2%,DASH,0.2%,0.15,0.00,https://www.hltv.org/stats/players/16563/psycho,0.06,0.0008,0.61,,0.92,39.0%,8719,40.8%,0.95,12.1%,9862,58/100,0.01,27 years,25.7%,1.9%,0.12,37/100,1.12,0.88,29.2%,0.94,68.7%,0.56,9.5%,0.10,0.16,0.12,0.14,113,0.06,2.34,,Alexandr Zlobin,69.9,65.6%,4.15,0.90,0.09,63.7,0.88,0.6%,0.78,2.43,83.6,0/100,Psycho,17.2%,89/100,1m 20s,14391,0.0,6.4,9.2%,545,0.11,0.95,28/100,22.7%
0.68,0.60,0.68,28/100,73.3%,38/100,69.9,43.4%,0.13,17.5%,Case,0.9%,0.16,0.01,https://www.hltv.org/stats/players/18875/ricioli,0.08,0.002,0.60,,0.93,39.6%,12174,39.5%,0.97,12.6%,13762,50/100,0.02,24 years,23.5%,2.1%,0.12,24/100,0.74,0.93,26.2%,0.88,68.9%,0.55,19.7%,0.10,0.16,0.14,0.13,116,0.05,2.14,,Felipe Ricioli,69.9,75.6%,3.75,0.90,0.08,64.6,0.88,2.0%,0.77,2.50,84.9,2/100,RICIOLI,22.3%,73/100,1m 2s,20263,0.0006,5.0,9.8%,810,0.10,0.97,41/100,21.4%
0.75,0.64,0.75,45/100,74.6%,24/100,72.9,52.6%,0.18,12.1%,Sashi,0.4%,0.15,0.00,https://www.hltv.org/stats/players/16731/iceberg,0.12,0.0008,0.64,,0.94,39.3%,17486,41.1%,0.96,14.2%,20514,74/100,0.01,24 years,18.3%,0.7%,0.13,14/100,0.56,1.06,29.2%,0.58,66.2%,0.59,8.2%,0.12,0.19,0.13,0.10,113,0.03,2.24,,Oliver Berg,72.9,62.5%,2.88,0.80,0.09,67.9,0.85,0.7%,0.89,2.41,95.7,0/100,IceBerg,31.1%,48/100,0m 56s,27303,0.0,4.4,6.5%,1092,0.10,0.96,72/100,23.5%
