Summary Stats_DPR,Summary Stats_KPR,Detailed Stats_Deaths / round,Role Stats_Firepower_Score,Role Stats_Opening_Win% after opening kill,Role Stats_Clutching_Score,Detailed Stats_Damage / Round,Detailed Stats_Headshot %,Role Stats_Opening_Opening deaths per round,Role Stats_Entrying_Support rounds,Basic Info_Team Name,Role Stats_Sniping_Rounds with sniper kills percentage,Detailed Stats_Assists / round,Role Stats_Sniping_Sniper kills per round,URL,Role Stats_Opening_Opening kills per round,Role Stats_Sniping_Sniper multi-kill rounds,Detailed Stats_Kills / round,Detailed Stats_Rating 1.0,Role Stats_Firepower_Rating 2.0,Role Stats_Opening_Opening success,Detailed Stats_Total kills,Role Stats_Firepower_Rounds with a kill,Detailed Stats_Rating 2.0,Role Stats_Firepower_Rounds with a multi-kill,Detailed Stats_Total deaths,Role Stats_Entrying_Score,Role Stats_Clutching_Clutch points per round,Basic Info_Age,Role Stats_Trading_Trade kills percentage,Role Stats_Clutching_Saves per round loss,Role Stats_Entrying_Saved by teammate per round,Role Stats_Trading_Score,Role Stats_Utility_Utility kills per 100 rounds,Summary Stats_Impact,Role Stats_Entrying_Opening deaths traded percentage,Role Stats_Utility_Flashes thrown per round,Summary Stats_KAST,Role Stats_Firepower_Kills per round,Role Stats_Trading_Assisted kills percentage,Detailed Stats_Saved by teammate / round,Role Stats_Entrying_Traded deaths per round,Role Stats_Entrying_Assists per round,Role Stats_Trading_Trade kills per round,Role Stats_Trading_Damage per kill,Role Stats_Utility_Flash assists per round,Role Stats_Utility_Time opponent flashed per round,Summary Stats_Rating 1.0,Basic Info_Real Name,Summary Stats_ADR,Role Stats_Clutching_1on1 win percentage,Role Stats_Utility_Utility damage per round,Role Stats_Firepower_Pistol round rating,Detailed Stats_Saved teammates / round,Role Stats_Firepower_Damage per round,Detailed Stats_K/D Ratio,Role Stats_Sniping_Sniper kills percentage,Role Stats_Firepower_Kills per round win,Role Stats_Opening_Attacks per round,Role Stats_Firepower_Damage per round win,Role Stats_Sniping_Score,Basic Info_Player Name,Role Stats_Opening_Opening attempts,Role Stats_Utility_Score,Role Stats_Clutching_Time alive per round,Detailed Stats_Rounds played,Role Stats_Sniping_Sniper opening kills per round,Detailed Stats_Grenade dmg / Round,Role Stats_Clutching_Last alive percentage,Detailed Stats_Maps played,Role Stats_Trading_Saved teammate per round,Summary Stats_Rating 2.0,Role Stats_Opening_Score,Role Stats_Entrying_Traded deaths percentage
0.61,0.84,0.61,98/100,74.5%,75/100,87.3,41.3%,0.10,15.3%,Vitality,14.7%,0.13,0.21,https://www.hltv.org/stats/players/11893/zywoo,0.12,0.04,0.84,,1.29,54.6%,29136,50.1%,1.32,20.0%,21011,43/100,0.04,23 years,23.8%,2.0%,0.11,54/100,0.73,1.43,30.3%,0.81,75.4%,0.77,16.1%,0.09,0.15,0.12,0.18,106,0.06,2.12,,Mathieu Herbaut,87.3,77.4%,2.58,1.42,0.12,83.1,1.39,26.9%,1.06,2.41,108.2,86/100,ZywOo,22.3%,61/100,1m 10s,34629,0.03,3.7,12.5%,1334,0.15,1.32,89/100,22.5%
0.63,0.85,0.63,97/100,75.6%,52/100,85.4,41.1%,0.09,10.5%,Natus Vincere,15.5%,0.10,0.18,https://www.hltv.org/stats/players/7998/s1mple,0.11,0.05,0.85,1.24,-,55.3%,38714,51.8%,,21.0%,29045,6/100,0.03,26 years,17.6%,3.8%,0.07,26/100,0.40,1.34,13.5%,0.73,73.9%,0.80,8.1%,0.08,0.09,0.09,0.14,80,0.04,1.96,1.24,Oleksandr Kostyliev,85.4,70.6%,1.74,-,0.11,81.8,1.33,28.8%,1.09,1.66,86.4,87/100,s1mple,20.2%,37/100,0m 59s,45750,0.03,2.5,12.4%,1727,0.10,,87/100,13.5%
0.54,0.77,0.54,85/100,77.3%,83/100,78.3,28.9%,0.05,19.4%,Spirit,24.6%,0.11,0.34,https://www.hltv.org/stats/players/16920/sh1ro,0.07,0.07,0.77,,1.22,59.5%,23994,48.8%,1.25,17.4%,16664,15/100,0.04,23 years,25.8%,8.9%,0.09,60/100,0.65,1.20,23.7%,0.86,76.3%,0.72,10.0%,0.08,0.10,0.10,0.18,103,0.07,2.26,,Dmitry Sokolov,78.3,74.2%,2.75,1.33,0.11,74.4,1.44,46.7%,0.92,2.06,91.6,93/100,sh1ro,13.1%,66/100,1m 19s,31066,0.04,3.9,17.8%,1189,0.13,1.25,60/100,17.8%
0.67,0.84,0.67,98/100,73.8%,37/100,88.3,60.6%,0.13,12.4%,Spirit,0.9%,0.15,0.01,https://www.hltv.org/stats/players/21167/donk,0.13,0.003,0.84,,1.28,51.4%,9768,51.9%,1.27,21.6%,7789,63/100,0.01,17 years,24.2%,2.6%,0.12,70/100,0.55,1.38,27.0%,0.43,74.1%,0.82,18.1%,0.11,0.16,0.13,0.20,104,0.01,1.69,,Danil Kryshkovets,88.3,75.0%,2.78,1.42,0.14,86.6,1.25,1.5%,1.14,2.62,114.8,1/100,donk,27.2%,28/100,1m 6s,11601,0.0002,3.6,6.9%,468,0.18,1.27,86/100,22.9%
0.59,0.79,0.59,89/100,73.2%,73/100,79.8,38.3%,0.05,16.3%,Aurora,16.5%,0.12,0.23,https://www.hltv.org/stats/players/20113/deko,0.07,0.05,0.79,,1.17,56.3%,18625,49.2%,1.22,18.1%,13886,17/100,0.03,23 years,23.9%,5.9%,0.10,51/100,0.66,1.18,24.5%,0.77,74.7%,0.72,7.7%,0.08,0.12,0.10,0.17,103,0.06,2.27,,Denis Zhukov,79.8,68.6%,2.69,1.23,0.11,75.5,1.34,31.5%,0.96,2.14,95.8,91/100,deko,12.9%,58/100,1m 20s,23640,0.03,4.1,17.1%,927,0.12,1.22,54/100,18.4%
0.59,0.78,0.59,88/100,76.0%,62/100,79.3,39.3%,0.08,16.2%,G2,21.6%,0.10,0.30,https://www.hltv.org/stats/players/19230/m0nesy,0.11,0.06,0.78,,1.19,56.2%,11514,48.6%,1.23,17.8%,8746,26/100,0.03,19 years,23.3%,3.2%,0.11,48/100,0.54,1.26,24.4%,0.88,74.3%,0.72,16.1%,0.09,0.12,0.09,0.16,103,0.08,2.33,,Ilya Osipov,79.3,68.6%,2.40,1.30,0.11,74.8,1.32,41.3%,0.96,1.93,96.6,92/100,m0NESY,19.8%,57/100,1m 14s,14743,0.05,2.8,13.3%,588,0.13,1.23,82/100,19.5%
0.62,0.79,0.62,90/100,76.0%,68/100,79.6,28.3%,0.09,14.6%,Into the Breach,22.8%,0.10,0.33,https://www.hltv.org/stats/players/11271/smooya,0.10,0.07,0.79,,1.19,54.0%,22842,48.9%,1.21,18.9%,17975,18/100,0.03,25 years,22.6%,3.4%,0.09,43/100,0.54,1.27,24.5%,0.79,72.3%,0.74,18.0%,0.08,0.12,0.09,0.16,101,0.06,2.29,,Owen Butterfield,79.6,66.7%,1.87,1.28,0.10,75.7,1.27,44.3%,1.01,2.01,99.8,93/100,smooya,20.0%,51/100,1m 7s,28960,0.05,2.6,16.4%,1117,0.13,1.21,83/100,18.1%
0.58,0.77,0.58,82/100,75.8%,73/100,76.9,36.9%,0.06,17.2%,Natus Vincere,16.5%,0.10,0.23,https://www.hltv.org/stats/players/20127/w0nderful,0.08,0.04,0.77,,1.19,57.3%,10496,49.8%,1.20,17.6%,7894,28/100,0.03,19 years,26.0%,6.1%,0.11,66/100,0.53,1.14,26.0%,0.78,75.1%,0.72,13.8%,0.09,0.12,0.10,0.18,101,0.05,2.23,,Ihor Zhdanov,76.9,69.6%,2.59,1.35,0.12,74.3,1.33,31.3%,0.93,2.16,92.9,91/100,w0nderful,14.8%,48/100,1m 16s,13686,0.03,3.3,16.2%,539,0.15,1.20,54/100,19.4%
0.60,0.77,0.60,85/100,75.4%,65/100,77.9,34.8%,0.07,16.2%,HEROIC,20.7%,0.09,0.29,https://www.hltv.org/stats/players/17306/degster,0.09,0.06,0.77,,1.17,56.2%,18220,48.4%,1.20,17.9%,14140,12/100,0.03,23 years,23.8%,5.9%,0.09,45/100,0.64,1.21,23.7%,0.67,72.8%,0.72,15.5%,0.08,0.11,0.08,0.17,102,0.06,2.38,,Abdul Gasanov,77.9,66.9%,1.78,1.30,0.10,74.1,1.29,39.6%,0.96,1.87,95.9,93/100,degster,17.2%,42/100,1m 7s,23592,0.05,2.8,16.2%,890,0.12,1.20,77/100,17.0%
0.64,0.79,0.64,95/100,76.0%,62/100,85.9,56.4%,0.09,14.6%,TALON,0.7%,0.17,0.01,https://www.hltv.org/stats/players/18214/nettik,0.10,0.002,0.79,,1.27,52.4%,9605,50.2%,1.23,20.2%,7741,56/100,0.03,21 years,23.8%,2.5%,0.13,70/100,1.00,1.28,26.0%,0.63,74.0%,0.77,20.6%,0.11,0.15,0.15,0.18,107,0.03,1.94,,Corey Browne,85.9,67.5%,5.44,1.38,0.14,83.9,1.24,1.2%,1.05,2.91,107.7,1/100,nettik,20.9%,77/100,1m 6s,12181,0.0008,7.1,11.0%,499,0.16,1.23,61/100,23.1%
0.60,0.77,0.60,84/100,78.0%,69/100,77.7,31.7%,0.06,15.5%,No team,18.4%,0.10,0.26,https://www.hltv.org/stats/players/12591/sterling,0.07,0.05,0.77,,1.13,56.4%,19108,48.4%,1.19,16.6%,14761,15/100,0.03,26 years,25.1%,3.0%,0.09,48/100,0.67,1.18,26.3%,0.71,73.1%,0.70,18.0%,0.08,0.11,0.09,0.17,102,0.06,2.25,,Euan Moore,77.7,68.2%,3.01,1.14,0.10,71.7,1.29,36.7%,0.93,2.08,90.9,92/100,sterling,14.0%,54/100,1m 9s,24789,0.04,4.1,18.2%,967,0.13,1.19,66/100,17.5%
0.67,0.81,0.67,97/100,75.1%,33/100,89.2,53.1%,0.12,12.2%,Eternal Fire,0.5%,0.16,0.01,https://www.hltv.org/stats/players/7938/xantares,0.13,0.001,0.81,1.16,-,52.3%,45805,49.8%,,20.1%,38183,38/100,0.01,29 years,19.2%,1.6%,0.11,32/100,0.50,1.35,24.7%,0.64,72.5%,0.76,14.9%,0.10,0.15,0.14,0.14,102,0.02,1.72,1.16,Ismailcan Dörtkardeş,89.2,69.3%,2.93,-,0.11,84.7,1.20,0.8%,1.07,2.62,104.9,0/100,XANTARES,26.2%,58/100,1m 0s,56811,0.0003,5.1,8.1%,2174,0.12,,88/100,21.0%
0.59,0.76,0.59,83/100,78.1%,73/100,77.2,31.0%,0.06,17.5%,Rare Atom,17.5%,0.11,0.24,https://www.hltv.org/stats/players/8950/kaze,0.07,0.05,0.76,1.16,-,52.2%,22146,46.1%,,16.7%,17163,19/100,0.03,30 years,24.5%,3.5%,0.09,43/100,0.68,1.17,26.3%,0.96,73.8%,0.67,-0.6%,0.08,0.11,0.10,0.16,98,0.08,2.15,1.16,Andrew Khong,77.2,71.9%,2.41,-,0.10,70.3,1.29,37.0%,0.89,2.11,84.2,92/100,kaze,13.6%,58/100,1m 8s,29258,0.03,3.0,16.1%,1147,0.12,,62/100,18.2%
0.55,0.74,0.55,76/100,73.0%,78/100,75.9,31.0%,0.06,17.2%,No team,24.9%,0.09,0.35,https://www.hltv.org/stats/players/18227/sensei,0.09,0.07,0.74,,1.15,61.3%,12370,47.6%,1.20,16.1%,9183,7/100,0.03,25 years,22.3%,8.7%,0.08,30/100,0.58,1.17,18.5%,0.94,73.8%,0.67,16.0%,0.07,0.09,0.08,0.15,104,0.09,2.38,,Dmitriy Shvorak,75.9,68.9%,2.53,1.21,0.09,71.1,1.35,50.7%,0.91,1.89,92.3,94/100,SENSEi,15.8%,63/100,1m 28s,16671,0.06,3.1,20.8%,623,0.10,1.20,72/100,15.6%
0.63,0.79,0.63,89/100,75.5%,65/100,79.8,39.0%,0.09,13.4%,TYLOO,14.4%,0.10,0.21,https://www.hltv.org/stats/players/16207/dank1ng,0.10,0.04,0.79,,1.18,52.5%,9531,49.6%,1.20,19.0%,7634,33/100,0.03,25 years,20.8%,3.7%,0.10,33/100,0.46,1.25,24.0%,0.70,73.3%,0.74,17.0%,0.09,0.14,0.09,0.15,102,0.06,2.24,,Zhenghao Lv,79.8,70.0%,1.57,1.18,0.10,76.6,1.25,27.4%,1.00,2.07,98.7,89/100,DANK1NG,20.1%,40/100,1m 8s,12106,0.03,2.3,15.3%,457,0.12,1.20,82/100,20.3%
0.62,0.77,0.62,88/100,75.8%,41/100,79.9,34.8%,0.10,10.2%,Astralis,13.8%,0.13,0.16,https://www.hltv.org/stats/players/7592/device,0.10,0.03,0.77,1.16,-,50.7%,41519,47.1%,,17.3%,33233,4/100,0.02,29 years,14.2%,3.0%,0.06,8/100,0.43,1.27,14.3%,0.58,71.5%,0.70,17.6%,0.08,0.09,0.11,0.09,76,0.03,1.83,1.16,Nicolai Reedtz,79.9,66.1%,2.99,-,0.08,75.0,1.25,30.8%,0.97,1.61,72.6,84/100,device,21.1%,40/100,0m 49s,53670,0.03,4.4,9.8%,2076,0.07,,83/100,12.6%
0.60,0.76,0.60,90/100,75.3%,72/100,85.2,39.5%,0.08,16.0%,fnatic,0.3%,0.15,0.00,https://www.hltv.org/stats/players/15165/blamef,0.09,0.0003,0.76,,1.16,52.0%,24960,48.4%,1.23,17.0%,19720,9/100,0.03,27 years,22.4%,5.0%,0.08,39/100,1.13,1.23,22.6%,0.70,74.3%,0.70,17.6%,0.07,0.10,0.11,0.15,111,0.05,2.20,,Benjamin Bremer,85.2,63.6%,4.58,1.13,0.10,78.8,1.27,0.5%,0.95,2.91,100.2,0/100,blameF,18.5%,73/100,1m 12s,32689,0.0002,7.2,18.0%,1243,0.11,1.23,73/100,15.7%
0.59,0.75,0.59,80/100,73.7%,59/100,76.5,34.8%,0.07,16.7%,Imperial,18.5%,0.10,0.27,https://www.hltv.org/stats/players/19869/try,0.08,0.06,0.75,,1.13,53.2%,10909,46.7%,1.19,17.2%,8596,29/100,0.03,19 years,25.7%,4.9%,0.10,51/100,0.76,1.18,24.9%,1.07,73.5%,0.69,18.4%,0.09,0.12,0.08,0.17,101,0.11,2.44,,Santino Rigal,76.5,66.2%,2.45,1.17,0.10,70.2,1.27,38.3%,0.91,1.98,89.6,93/100,try,16.2%,69/100,1m 12s,14451,0.04,3.8,13.8%,553,0.13,1.19,71/100,19.6%
0.66,0.79,0.66,94/100,72.9%,43/100,85.6,51.0%,0.12,11.3%,G2,2.5%,0.14,0.03,https://www.hltv.org/stats/players/3741/niko,0.11,0.008,0.79,1.15,-,48.1%,40390,48.6%,,18.7%,33909,11/100,0.02,27 years,17.0%,2.4%,0.08,19/100,0.46,1.30,17.6%,0.80,71.5%,0.73,14.8%,0.08,0.11,0.11,0.12,91,0.03,1.83,1.15,Nikola Kovač,85.6,70.9%,2.96,-,0.10,79.4,1.19,4.5%,1.04,2.15,90.5,11/100,NiKo,24.6%,63/100,0m 57s,51166,0.006,4.8,10.4%,1953,0.10,,87/100,15.6%
0.61,0.75,0.61,77/100,69.1%,78/100,74.0,34.9%,0.07,16.9%,Entropiq,18.6%,0.09,0.27,https://www.hltv.org/stats/players/20123/regali,0.07,0.06,0.75,,1.11,51.4%,9274,46.6%,1.15,17.6%,7452,20/100,0.03,22 years,28.1%,4.5%,0.10,70/100,0.48,1.12,26.7%,0.80,73.0%,0.70,9.0%,0.09,0.12,0.08,0.19,99,0.06,2.07,,Iulian Harjău,74.0,76.1%,1.92,1.26,0.12,70.1,1.24,38.1%,0.94,1.93,91.0,92/100,regali,15.0%,49/100,1m 13s,12302,0.04,2.6,18.0%,456,0.15,1.15,52/100,18.0%
0.65,0.78,0.65,94/100,77.7%,60/100,85.4,46.7%,0.10,13.0%,No team,0.9%,0.14,0.01,https://www.hltv.org/stats/players/8944/benkai,0.11,0.002,0.78,1.14,-,51.9%,12164,49.8%,,19.3%,10118,13/100,0.03,27 years,19.9%,1.1%,0.08,31/100,0.93,1.25,18.9%,0.77,71.7%,0.75,7.3%,0.07,0.12,0.12,0.15,106,0.04,1.86,1.14,Benedict Tan,85.4,71.9%,2.86,-,0.10,82.5,1.20,1.6%,1.04,2.84,104.5,4/100,Benkai,22.3%,54/100,0m 55s,15560,0.001,4.2,14.5%,603,0.11,,72/100,17.0%
0.55,0.72,0.55,65/100,77.9%,69/100,72.2,24.4%,0.04,20.4%,PARIVISION,26.8%,0.09,0.37,https://www.hltv.org/stats/players/21348/artfr0st,0.08,0.07,0.72,,1.12,63.2%,9141,46.3%,1.18,14.7%,6932,17/100,0.03,22 years,25.5%,9.5%,0.09,55/100,0.81,1.08,25.5%,0.91,75.5%,0.65,20.4%,0.08,0.10,0.09,0.16,101,0.08,2.29,,Artem Kharitonov,72.2,63.4%,2.67,1.08,0.10,66.8,1.32,55.6%,0.84,1.73,84.4,95/100,ArtFr0st,12.8%,61/100,1m 17s,12667,0.05,3.6,20.3%,515,0.11,1.18,58/100,17.6%
0.63,0.76,0.63,88/100,78.1%,73/100,82.3,39.9%,0.08,16.4%,Alter Ego,0.8%,0.14,0.01,https://www.hltv.org/stats/players/7131/bntet,0.07,0.002,0.76,1.14,-,48.3%,22227,47.9%,,17.7%,18372,46/100,0.03,29 years,27.4%,1.6%,0.12,73/100,0.67,1.13,34.1%,1.04,74.4%,0.72,10.7%,0.10,0.14,0.12,0.19,106,0.07,2.19,1.14,Hansel Ferdinand,82.3,70.0%,2.95,-,0.12,77.8,1.21,1.5%,0.95,2.90,96.2,4/100,BnTeT,15.9%,79/100,1m 4s,29312,0.001,5.1,14.1%,1129,0.15,,35/100,21.7%
0.63,0.76,0.63,88/100,73.2%,59/100,81.2,55.7%,0.10,14.8%,TYLOO,0.4%,0.14,0.01,https://www.hltv.org/stats/players/19645/jamyoung,0.09,0.001,0.76,,1.22,49.5%,12131,49.7%,1.18,19.6%,10039,47/100,0.02,23 years,23.9%,2.5%,0.11,58/100,0.59,1.17,29.9%,0.74,73.8%,0.76,16.7%,0.09,0.15,0.12,0.18,107,0.03,1.92,,Yi Yang,81.2,70.5%,2.54,1.31,0.12,81.8,1.21,0.7%,1.02,2.77,105.4,2/100,JamYoung,20.1%,51/100,1m 8s,16006,0.0002,3.6,11.1%,638,0.14,1.18,48/100,21.8%
0.58,0.73,0.58,81/100,76.8%,72/100,79.6,49.4%,0.07,18.4%,FURIA,0.6%,0.14,0.01,https://www.hltv.org/stats/players/15631/kscerato,0.08,0.001,0.73,,1.17,53.1%,22967,47.5%,1.18,17.1%,18262,20/100,0.03,25 years,22.6%,4.3%,0.09,45/100,1.21,1.10,25.4%,0.86,75.0%,0.70,15.0%,0.08,0.12,0.12,0.15,110,0.05,2.45,,Kaike Cerato,79.6,69.6%,4.75,1.13,0.10,77.3,1.26,1.1%,0.93,2.92,95.5,2/100,KSCERATO,15.8%,80/100,1m 9s,31360,0.0002,5.7,15.4%,1231,0.12,1.18,38/100,18.6%
0.60,0.75,0.60,76/100,78.3%,70/100,75.0,30.3%,0.07,16.0%,MOUZ,22.5%,0.10,0.32,https://www.hltv.org/stats/players/18072/torzsi,0.07,0.07,0.75,,1.07,51.2%,15115,45.4%,1.15,15.7%,12249,18/100,0.03,22 years,24.7%,4.2%,0.10,44/100,0.55,1.15,23.4%,0.88,71.8%,0.66,-0.8%,0.08,0.12,0.08,0.16,102,0.08,2.37,,Ádám Torzsás,75.0,63.0%,2.09,1.08,0.10,68.6,1.23,47.9%,0.91,1.84,89.9,93/100,torzsi,15.4%,55/100,1m 9s,20288,0.04,2.6,15.8%,792,0.12,1.15,68/100,18.2%
0.61,0.74,0.61,77/100,77.0%,56/100,75.4,30.7%,0.07,18.2%,MIBR,18.1%,0.11,0.26,https://www.hltv.org/stats/players/18835/saffee,0.08,0.06,0.74,,1.13,53.1%,14505,46.4%,1.16,17.0%,11818,23/100,0.02,29 years,22.7%,4.2%,0.10,39/100,0.43,1.15,25.1%,0.96,73.1%,0.68,6.5%,0.09,0.12,0.10,0.15,102,0.08,2.38,,Rafael Costa,75.4,67.3%,2.12,1.13,0.10,70.6,1.23,37.7%,0.90,2.07,89.5,92/100,saffee,16.4%,60/100,1m 12s,19516,0.04,2.9,13.1%,779,0.12,1.16,66/100,19.1%
0.69,0.79,0.69,95/100,76.1%,26/100,86.9,40.5%,0.12,13.6%,Mindfreak,0.2%,0.18,0.00,https://www.hltv.org/stats/players/11847/texta,0.11,0.0004,0.79,,1.18,46.6%,13001,49.0%,1.20,18.8%,11213,66/100,0.01,23 years,24.7%,0.4%,0.13,68/100,0.66,1.29,30.9%,0.57,73.3%,0.74,7.2%,0.11,0.17,0.16,0.18,110,0.03,1.85,,Matthew O'Rourke,86.9,72.4%,2.39,1.29,0.13,81.5,1.16,0.4%,1.04,2.91,108.0,0/100,Texta,24.1%,38/100,0m 51s,16365,0.0001,3.7,8.0%,655,0.16,1.20,75/100,23.7%
0.63,0.77,0.63,86/100,78.5%,65/100,78.7,34.4%,0.08,13.2%,DRILLAS,19.7%,0.11,0.28,https://www.hltv.org/stats/players/16885/woro2k,0.10,0.06,0.77,,1.14,55.0%,17854,48.8%,1.16,18.4%,14736,14/100,0.03,23 years,21.1%,4.0%,0.09,42/100,0.56,1.21,17.0%,0.67,71.0%,0.72,17.4%,0.08,0.10,0.10,0.15,105,0.04,2.02,,Volodymyr Veletniuk,78.7,64.8%,2.61,1.19,0.10,76.5,1.21,38.6%,0.99,2.01,101.2,92/100,Woro2k,18.7%,45/100,1m 7s,23282,0.04,3.4,16.9%,902,0.11,1.16,76/100,15.3%
0.63,0.76,0.63,87/100,76.9%,51/100,80.3,30.8%,0.08,14.4%,TALON,22.4%,0.12,0.32,https://www.hltv.org/stats/players/16847/mhl,0.09,0.07,0.76,,1.14,54.0%,17280,48.1%,1.17,17.5%,14338,25/100,0.02,22 years,23.7%,4.2%,0.11,50/100,0.97,1.21,22.8%,0.71,71.5%,0.70,7.0%,0.09,0.12,0.11,0.16,107,0.04,2.18,,Miłosz Knasiak,80.3,64.3%,3.06,1.17,0.11,76.0,1.21,44.2%,0.98,2.16,101.0,93/100,mhL,17.9%,54/100,1m 9s,22634,0.05,3.9,15.2%,853,0.13,1.17,73/100,18.1%
0.54,0.71,0.54,61/100,76.4%,71/100,71.7,25.7%,0.05,20.7%,Virtus.pro,25.2%,0.09,0.35,https://www.hltv.org/stats/players/13776/jame,0.08,0.07,0.71,,1.11,58.6%,28077,44.9%,1.17,15.0%,21554,10/100,0.03,26 years,21.6%,10.1%,0.08,27/100,0.66,1.10,17.1%,1.05,74.1%,0.64,18.1%,0.07,0.09,0.08,0.13,103,0.09,2.30,,Dzhami Ali,71.7,69.9%,3.07,0.98,0.09,66.2,1.30,54.0%,0.82,1.83,81.8,94/100,Jame,14.2%,69/100,1m 22s,39717,0.05,4.0,18.3%,1530,0.10,1.17,65/100,15.7%
0.65,0.77,0.65,89/100,75.1%,54/100,81.2,52.7%,0.10,14.1%,Alter Ego,0.5%,0.12,0.01,https://www.hltv.org/stats/players/9172/xign,0.09,0.001,0.77,1.12,-,48.3%,16984,48.9%,,17.9%,14470,41/100,0.03,27 years,21.5%,2.6%,0.10,40/100,0.50,1.19,28.9%,0.76,72.9%,0.73,16.6%,0.09,0.15,0.11,0.15,102,0.04,1.82,1.12,Hyun-Pyo Lee,81.2,72.2%,1.57,-,0.10,77.3,1.17,0.7%,1.00,2.51,97.2,2/100,XigN,19.5%,44/100,0m 57s,22116,0.002,2.9,11.3%,859,0.11,,63/100,21.8%
0.64,0.75,0.64,88/100,74.2%,52/100,82.8,53.8%,0.10,15.6%,FaZe,1.0%,0.14,0.01,https://www.hltv.org/stats/players/9960/frozen,0.09,0.003,0.75,1.12,-,45.9%,29989,47.0%,,17.1%,25318,35/100,0.02,22 years,23.4%,2.5%,0.11,45/100,0.85,1.18,26.6%,0.69,73.3%,0.70,17.1%,0.09,0.14,0.12,0.16,108,0.03,1.96,1.12,David Čerňanský,82.8,70.4%,3.57,-,0.11,77.3,1.18,1.9%,0.96,2.54,99.2,5/100,frozen,19.9%,63/100,1m 0s,39853,0.001,5.3,11.5%,1551,0.13,,58/100,20.8%
0.62,0.75,0.62,82/100,76.9%,52/100,78.1,49.4%,0.07,14.3%,RED Canids,2.8%,0.12,0.04,https://www.hltv.org/stats/players/9216/coldzera,0.07,0.008,0.75,1.12,-,48.3%,34951,47.7%,,17.4%,28898,13/100,0.02,29 years,21.4%,3.4%,0.09,32/100,0.45,1.08,21.7%,0.90,73.0%,0.70,18.2%,0.08,0.11,0.11,0.15,96,0.03,1.49,1.12,Marcelo David,78.1,67.6%,2.06,-,0.10,75.4,1.21,5.8%,0.95,2.26,86.8,14/100,coldzera,15.0%,46/100,1m 5s,46558,0.005,2.5,12.2%,1810,0.11,,40/100,16.9%
0.63,0.76,0.63,83/100,74.0%,55/100,77.7,31.1%,0.08,13.1%,SINNERS,26.4%,0.11,0.35,https://www.hltv.org/stats/players/798/oskar,0.10,0.09,0.76,1.12,-,54.6%,41068,47.9%,,17.4%,34352,4/100,0.03,33 years,19.0%,3.3%,0.07,16/100,0.71,1.19,15.7%,0.76,70.6%,0.70,7.6%,0.07,0.09,0.09,0.13,91,0.06,2.03,1.12,Tomáš Šťastný,77.7,72.8%,2.77,-,0.08,73.5,1.20,55.7%,0.97,1.62,86.7,94/100,oskar,18.4%,55/100,-1317m -26s,54319,0.06,3.8,14.1%,2113,0.09,,78/100,13.7%
0.61,0.74,0.61,82/100,78.1%,69/100,79.4,52.1%,0.07,19.0%,MOUZ,0.2%,0.15,0.00,https://www.hltv.org/stats/players/18850/jimpphat,0.06,0.0004,0.74,,1.12,46.6%,10571,46.0%,1.16,17.0%,8761,40/100,0.03,18 years,26.2%,4.2%,0.11,68/100,0.94,1.07,29.7%,0.48,75.2%,0.68,19.0%,0.09,0.14,0.13,0.17,109,0.03,2.11,,Jimi Salo,79.4,65.7%,3.31,1.22,0.12,74.6,1.21,0.5%,0.92,2.64,94.7,0/100,Jimpphat,13.4%,49/100,1m 13s,14374,0.0001,5.0,12.4%,564,0.14,1.16,27/100,20.7%
0.65,0.76,0.65,92/100,76.7%,50/100,86.0,43.4%,0.11,15.0%,FlyQuest,1.0%,0.18,0.01,https://www.hltv.org/stats/players/11140/ins,0.11,0.003,0.76,,1.18,48.6%,23216,47.4%,1.20,18.4%,19834,40/100,0.02,25 years,18.8%,1.4%,0.11,25/100,1.27,1.26,26.3%,0.77,72.3%,0.72,10.1%,0.10,0.14,0.15,0.13,113,0.03,1.91,,Joshua Potter,86.0,67.9%,5.89,1.25,0.09,81.7,1.17,1.8%,0.98,3.04,105.0,5/100,INS,22.6%,81/100,1m 5s,30516,0.002,8.9,11.4%,1229,0.11,1.20,72/100,20.8%
0.64,0.77,0.64,85/100,73.4%,61/100,78.5,27.7%,0.08,11.5%,No team,27.1%,0.10,0.33,https://www.hltv.org/stats/players/1088/little,0.10,0.09,0.77,1.12,-,53.6%,9317,48.2%,,16.5%,7766,5/100,0.03,36 years,17.2%,2.9%,0.07,19/100,0.60,1.22,19.0%,0.65,71.4%,0.69,16.3%,0.07,0.08,0.09,0.11,84,0.04,1.65,1.12,Anatoliy Yashin,78.5,64.7%,1.74,-,0.09,72.3,1.20,57.8%,0.96,1.33,78.7,94/100,liTTle,18.8%,26/100,0m 51s,12154,0.06,2.6,15.3%,457,0.08,,79/100,12.5%
